,Date,Close,Adj_Close,PE_LTM,EPS_Est_High_NTM,EPS_Est_Low_NTM,Volume,SI_pc,Vol,n_Buys,n_Sell,n_Hold,Total_Rec,pc_Buy,pc_Sell,pc_Hold
16,2/3/2003,24.28,15.2968148,32.79995137,1.075,0.95,80820520.0,0.953692248,0.409749496,12.0,0.0,6.0,18.0,0.6666666666666666,0.0,0.3333333333333333
17,2/4/2003,23.66,14.90620421,31.96239083,1.075,0.95,82124480.0,0.953692248,0.415413881,11.0,0.0,6.0,17.0,0.6470588235294118,0.0,0.3529411764705882
18,2/5/2003,23.48,14.79280113,31.71922809,1.075,0.95,101376740.0,0.953692248,0.406016093,11.0,0.0,6.0,17.0,0.6470588235294118,0.0,0.3529411764705882
19,2/6/2003,23.71,14.93770506,32.02993603,1.075,0.95,83617960.0,0.953692248,0.399981522,11.0,0.0,6.0,17.0,0.6470588235294118,0.0,0.3529411764705882
20,2/7/2003,23.29,14.67309788,31.46255632,1.075,0.95,75852120.0,0.953692248,0.394791749,11.0,0.0,6.0,17.0,0.6470588235294118,0.0,0.3529411764705882
21,2/10/2003,23.69,14.92510472,32.00291795,1.075,0.95,74333418.0,0.953692248,0.383502025,10.0,0.0,6.0,16.0,0.625,0.0,0.375
22,2/11/2003,23.22,14.62899669,31.36799303,1.075,0.95,84596680.0,0.953692248,0.384017412,10.0,0.0,6.0,16.0,0.625,0.0,0.375
23,2/12/2003,23.22,14.62899669,31.36799303,1.075,0.95,71576300.0,0.953692248,0.380366868,10.0,0.0,6.0,16.0,0.625,0.0,0.375
24,2/13/2003,23.495,14.80225139,31.73949165,1.075,0.95,73839528.0,0.953692248,0.381396968,10.0,0.0,6.0,16.0,0.625,0.0,0.375
25,2/14/2003,24.15,15.21491258,32.62433384,1.09,0.95,90770856.0,0.953692248,0.401650224,10.0,0.0,6.0,16.0,0.625,0.0,0.375
26,2/18/2003,24.96,15.72522641,33.71856615,1.09,0.95,57543700.0,0.953692248,0.423333176,10.0,0.0,6.0,16.0,0.625,0.0,0.375
27,2/19/2003,24.53,15.50401141,33.13767739,1.09,0.95,47130600.0,0.953692248,0.346462448,10.0,0.0,6.0,16.0,0.625,0.0,0.375
28,2/20/2003,24.15,15.26383512,32.62433384,1.09,0.95,51027900.0,0.953692248,0.349606535,10.0,0.0,6.0,16.0,0.625,0.0,0.375
29,2/21/2003,24.61,15.55457484,33.24574972,1.09,0.95,57081000.0,0.953692248,0.357145398,10.0,0.0,6.0,16.0,0.625,0.0,0.375
30,2/24/2003,24.07,15.2132717,32.51626151,1.09,0.95,62548553.0,0.953692248,0.350524426,10.0,0.0,6.0,16.0,0.625,0.0,0.375
31,2/25/2003,24.19,15.28911684,32.67837,1.09,0.95,68473109.0,0.953692248,0.313017045,10.0,0.0,5.0,15.0,0.6666666666666666,0.0,0.3333333333333333
32,2/26/2003,23.6,14.91621155,31.88133658,1.09,0.95,57314562.0,0.953692248,0.320720845,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
33,2/27/2003,23.58,14.90357069,31.8543185,1.09,0.945,75639266.0,0.953692248,0.320138733,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
34,2/28/2003,23.7,14.97941584,32.01642699,1.09,0.945,56737928.0,0.953692248,0.309606174,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
