Date,Close,Adj. Close,P/E (LTM),EPS - Est High (NTM),EPS - Est Low (NTM),Volume,SI (%),Vol,# Buys,# Sell,# Hold,Total Rec,% Buy,% Sell,% Hold,Rating,Mkt Cap,EPS - Est Avg (NTM),std_5days,std_10days,std_15days,% change_5d,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
8/24/2010,26.70536083,10.7594649,4.85,2.88,48721690.0,0.669125975,0.232520456,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,143578.7115,4.0183,31.04,0.2938692515181251,0.5344222135001035,1.2173302040927376,-0.016008537879151054,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
8/25/2010,26.7201111,10.76540771,4.85,2.88,36063110.0,0.669125975,0.227936581,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,143658.0149,4.0183,31.96,0.44371714940746143,0.4979681266254838,1.1984283436771945,-0.044338875672961416,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
8/26/2010,26.27760305,10.58712329,4.85,2.88,31884600.0,0.669125975,0.230931368,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,141278.9144,4.0183,31.85,0.3346799811061325,0.47492466497222907,1.1015570927126446,-0.022659832737111807,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
8/27/2010,26.99299107,10.87534977,4.85,2.88,38449040.0,0.669125975,0.257277354,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,145125.1268,4.0183,32.37,0.4416283055757122,0.596591172829747,0.9719235159860496,-0.04065697362151371,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
8/30/2010,26.439856,10.65249424,4.85,2.88,27306470.0,0.669125975,0.262143446,11.0,0.0,3.0,4.36364,7.36364,0.0,0.4074072062186636,0.5925927937813364,142151.2513,4.0183,31.91,0.3474541481053106,0.8324291005472825,0.8040223602482748,-0.007592190640546723,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
8/31/2010,26.81598785,10.804036,4.85,2.88,34788910.0,0.669125975,0.233353357,12.0,0.0,3.0,4.3913,7.3913,0.0,0.40588259169564217,0.5941174083043579,144173.4866,4.0171,31.72,0.2765232789980373,0.8938904002562189,0.6849646825666093,-0.009942004966348965,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/1/2010,27.83375636,11.21409017,4.85,2.88,36770450.0,0.669125975,0.276305519,12.0,0.0,3.0,4.3913,7.3913,0.0,0.40588259169564217,0.5941174083043579,149645.4176,4.0171,32.59,0.28850823823259636,0.9867514284002946,0.5564507249028822,0.003588186802112459,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/2/2010,28.143512,11.33888927,4.85,2.88,31282880.0,0.669125975,0.279546839,12.0,0.0,4.0,4.33333,8.33333,0.0,0.4800001920000768,0.5199998079999232,151310.7879,4.0171,32.86,0.6088529500873525,1.1319193263960214,0.5547402783940096,0.059219758630154024,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/3/2010,28.88840055,11.63900138,4.85,2.88,34135590.0,0.669125975,0.298050905,12.0,0.0,4.0,4.33333,8.33333,0.0,0.4800001920000768,0.5199998079999232,155315.607,4.0171,33.91,0.7158516620995005,1.0840482792152786,0.5795479998733191,0.042622950788091474,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
9/7/2010,28.23201361,11.37454615,4.85,2.88,31885420.0,0.669125975,0.300196703,12.0,0.0,4.0,4.33333,8.33333,0.0,0.4800001920000768,0.5199998079999232,151786.608,4.0171,33.78,0.9959517293950315,1.207998048766435,0.7119128631900755,0.09260808946917114,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/8/2010,28.85152488,11.62414435,4.85,2.88,30780920.0,0.669125975,0.307678663,12.0,0.0,4.0,4.33333,8.33333,0.0,0.4800001920000768,0.5199998079999232,155117.3486,4.0171,33.85,0.7569201914327596,1.0726196722476096,0.740076914283865,0.05280528048866938,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0
9/9/2010,29.57428803,11.91534224,4.85,2.88,33438800.0,0.669125975,0.314364678,12.0,0.0,4.0,4.33333,8.33333,0.0,0.4800001920000768,0.5199998079999232,159003.2127,4.0171,34.02,0.46274485898442114,0.8986859801382817,0.8318979493220879,0.03656597790238043,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9/10/2010,29.32353346,11.8143144,4.85,2.88,21932100.0,0.991524444,0.286000657,12.0,0.0,4.0,4.33333,8.33333,0.0,0.4800001920000768,0.5199998079999232,157655.0558,4.0171,34.49,0.579724953821409,0.8275719940561406,0.9919035196540144,0.050838574446572284,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9/13/2010,30.32655171,12.21842575,4.85,2.88,41643160.0,0.991524444,0.305600286,12.0,0.0,4.0,4.33333,8.33333,0.0,0.4800001920000768,0.5199998079999232,163047.6834,4.0171,34.72,0.5136610192909884,0.7038521403271345,1.0879791292950864,0.015062547656346454,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9/14/2010,30.03154634,12.09956947,4.85,2.88,42754050.0,0.991524444,0.306423659,13.0,0.0,4.0,4.36,8.36,0.0,0.47846889952153115,0.521531100478469,161461.6165,4.0059,34.61,0.7848473480813476,0.7123003517116575,1.2773857701666775,0.07419017746782679,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9/15/2010,30.22329983,12.17682606,4.85,2.88,25405330.0,0.991524444,0.306518263,13.0,0.0,4.0,4.36,8.36,0.0,0.47846889952153115,0.521531100478469,162492.56,4.0059,34.27,0.5807561081455276,0.5025811073058235,1.3739455610231799,0.04089979524160246,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9/16/2010,30.23067497,12.17979746,4.85,2.88,25207450.0,0.991524444,0.304884921,13.0,0.0,4.0,4.36,8.36,0.0,0.47846889952153115,0.521531100478469,162532.2117,4.0059,34.24,0.43072298904677686,0.39503083290664753,1.4224567169343436,0.021945136915608673,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9/17/2010,29.54478749,11.90345661,4.85,2.88,45938290.0,0.991524444,0.317879177,13.0,0.0,4.0,4.36,8.36,0.0,0.47846889952153115,0.521531100478469,158844.606,4.0059,34.13,0.40762547522543807,0.5140332719232389,1.43066704483651,0.030935613923793442,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9/20/2010,30.37817765,12.2392256,4.85,2.88,33380590.0,0.991524444,0.316168249,13.0,0.0,4.0,4.36,8.36,0.0,0.47846889952153115,0.521531100478469,163325.2452,3.9925,34.93,0.31323055228591806,0.5146399191574251,1.303774095781387,-0.02577821004760714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9/21/2010,29.9356696,12.06094118,4.85,2.88,33548810.0,0.991524444,0.323357852,13.0,0.0,4.0,4.36,8.36,0.0,0.47846889952153115,0.521531100478469,160946.1447,3.9925,35.26,0.32439693411787185,0.5697264292462236,1.2679001619980088,0.01154223981927675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9/22/2010,29.45628588,11.86779972,4.85,2.88,34546340.0,0.991524444,0.328852834,13.0,0.0,4.0,4.36,8.36,0.0,0.47846889952153115,0.521531100478469,158368.7859,3.9925,35.68,0.3308715670569583,0.6263825050411187,1.0719797703410592,-0.009516837394257415,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
9/23/2010,28.83677461,11.61820153,4.85,2.88,33471070.0,0.991524444,0.331475518,13.0,0.0,4.0,4.36,8.36,0.0,0.47846889952153115,0.521531100478469,155038.0453,3.9925,35.44,0.40679063321645226,0.6832506949961719,0.8404041619223596,-0.025616003968435365,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0
9/24/2010,29.31800211,11.81208584,4.85,2.88,28855020.0,1.101014701,0.334209155,13.0,0.0,5.0,4.30769,9.307690000000001,0.0,0.5371902158322849,0.46280978416771507,157625.317,3.9946,35.73,0.574423061047183,0.717324245211736,0.74106180133882,-0.02396405390425104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0
