Date,Close,Adj. Close,P/E (LTM),EPS - Est High (NTM),EPS - Est Low (NTM),Volume,SI (%),Vol,# Buys,# Sell,# Hold,Total Rec,% Buy,% Sell,% Hold,Rating,Mkt Cap,EPS - Est Avg (NTM),std_5days,std_10days,std_15days,% change_5d,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
1/9/2003,27.905,17.58062673,35.99446894,1.08,0.9,62048642.0,0.953692248,0.307837377,14.0,0.0,5.0,19.0,0.7368421052631579,0.0,0.2631578947368421,4.3,298385.3674,21.45,0.4284069327170135,0.5760777339522468,1.002575255458234,0.009679821295606909,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/10/2003,27.96,17.61527767,36.06541306,1.08,0.9,67985474.0,0.953692248,0.306802568,13.0,0.0,5.0,18.0,0.7222222222222222,0.0,0.2777777777777778,4.27586,298973.4768,21.32,0.4555957638082249,0.4990516005384613,1.002575255458234,0.03755344859639344,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/13/2003,28.195,17.76333168,36.36853796,1.08,0.9,61040600.0,0.953692248,0.30553128,13.0,0.0,5.0,18.0,0.7222222222222222,0.0,0.2777777777777778,4.26667,301486.3083,22.04,0.3790349588098697,0.7811131657946738,1.002575255458234,0.02099689611100965,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/14/2003,28.485,17.94603663,36.74260698,1.08,0.915,54441838.0,0.953692248,0.304476016,13.0,0.0,5.0,18.0,0.7222222222222222,0.0,0.2777777777777778,4.26667,304587.2492,22.74,0.4073604055378968,1.0034363180812447,1.002575255458234,0.010573476702509021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/15/2003,28.135,17.72553066,36.29114437,1.08,0.915,59999384.0,0.953692248,0.284455255,13.0,0.0,6.0,19.0,0.6842105263157895,0.0,0.3157894736842105,4.22581,300844.7343,22.27,0.5088786692326566,1.165025512357753,1.002575255458234,0.050331858407079585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/16/2003,27.675,17.4357228,37.38627076,1.13,0.95,83405140.0,0.953692248,0.264206851,13.0,0.0,6.0,19.0,0.6842105263157895,0.0,0.3157894736842105,4.22581,296177.85,21.8,0.22892138388538477,1.2160610364798492,1.002575255458234,0.00824225049274325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/17/2003,25.73,16.21033957,34.7587623,1.085,0.955,156119200.0,0.953692248,0.367424922,13.0,0.0,6.0,19.0,0.6842105263157895,0.0,0.3157894736842105,4.22581,275362.46,21.4,0.2992490601488996,1.3636649963323921,1.002575255458234,-0.010193133047210305,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/21/2003,25.665,16.16938846,34.67095354,1.085,0.95,86413480.0,0.953692248,0.364479666,13.0,0.0,6.0,19.0,0.6842105263157895,0.0,0.3157894736842105,4.22581,274666.83,21.08,1.1086388050217257,1.469487911560426,1.002575255458234,-0.08742684873204468,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/22/2003,25.5,16.06543564,34.44805436,1.085,0.95,87486264.0,0.953692248,0.364223058,13.0,0.0,6.0,19.0,0.6842105263157895,0.0,0.3157894736842105,4.21875,272901.0,21.17,1.3461964938299316,1.4728468276700664,1.002575255458234,-0.09899947340705635,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/23/2003,26.14,16.46864657,35.31263298,1.085,0.95,71629620.0,0.953692248,0.375818817,13.0,0.0,6.0,19.0,0.6842105263157895,0.0,0.3157894736842105,4.21875,279750.28,21.79,1.2585279099010884,1.2506313960911464,1.002575255458234,-0.09365558912386712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/24/2003,24.925,15.70317582,33.67128451,1.085,0.95,103436814.0,0.953692248,0.402513262,13.0,0.0,6.0,19.0,0.6842105263157895,0.0,0.3157894736842105,4.21875,266747.35,22.11,0.8887533403594052,1.0333345430100445,1.002575255458234,-0.05546522131887986,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/27/2003,24.585,15.48897001,33.21197712,1.075,0.95,115186480.0,0.953692248,0.403968449,12.0,0.0,6.0,18.0,0.6666666666666666,0.0,0.3333333333333333,4.19355,263108.67,21.78,0.44103004432804793,0.7770485470319368,1.1577845222665573,-0.03128643606684803,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
