Date,Close,Adj. Close,P/E (LTM),EPS - Est High (NTM),EPS - Est Low (NTM),Volume,SI (%),Vol,# Buys,# Sell,# Hold,Total Rec,% Buy,% Sell,% Hold,Rating,Mkt Cap,EPS - Est Avg (NTM),std_5days,std_10days,std_15days,% change_5d,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
6/15/2012,30.014,64.76434616,0.78,0.47,43563740.0,1.590689585,0.822449195,5.0,1.0,4.0,3.6,8.6,0.11627906976744186,0.46511627906976744,0.4186046511627907,64172.4843,0.5678,35.03,0.5133663409301389,2.168160561910078,2.007731192878455,0.043911439114391056,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6/18/2012,31.41,67.77664133,0.78,0.47,42978210.0,1.590689585,0.822449195,5.0,1.0,4.0,3.6,8.6,0.11627906976744186,0.46511627906976744,0.4186046511627907,67157.25101,0.5678,34.62,1.2271035816099634,2.2849977388756137,1.592057288392541,0.11142381040548048,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0
6/19/2012,31.911,68.85770142,0.78,0.47,30848910.0,1.590689585,0.822449195,5.0,1.0,4.0,3.6,8.6,0.11627906976744186,0.46511627906976744,0.4186046511627907,68228.43162,0.5652,35.38,1.7900701662225427,2.1061158166951155,1.5061046349535523,0.1463503649635037,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
6/20/2012,31.6,68.1866242,0.6,0.47,15558920.0,1.590689585,0.723285925,5.0,1.0,5.0,3.5625,9.5625,0.10457516339869281,0.5228758169934641,0.37254901960784315,67563.48717,0.5399,36.45,1.9857625739246882,1.943628179462317,1.8173635325723392,0.17018701870187025,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
6/21/2012,31.84,68.7044973,0.6,0.47,21875230.0,1.590689585,0.645872774,5.0,1.0,5.0,3.58824,9.588239999999999,0.10429442734015837,0.5214721367007918,0.37423343595904984,68076.62758,0.5399,35.51,1.503678157053564,1.4375293040491386,2.0278435226567546,0.1170024743725699,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
6/22/2012,33.05,71.31544082,0.6,0.47,74833980.0,1.590689585,0.649448333,5.0,1.0,6.0,3.55556,10.55556,0.09473680221608329,0.5684208132964996,0.33684238448741705,70663.71047,0.5399,35.99,0.7755146678174443,0.8857736417643304,2.201710854248189,0.06083827547144668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/25/2012,32.06,69.1792143,0.6,0.47,24352820.0,1.590689585,0.648755346,5.0,1.0,6.0,3.55556,10.55556,0.09473680221608329,0.5684208132964996,0.33684238448741705,68547.00629,0.5399,35.32,0.6397219708592149,0.6772011353931544,2.4799459517919993,0.05221267112384581,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6/26/2012,33.1,71.42333105,0.6,0.45,24858610.0,2.116346694,0.646884194,5.0,1.0,7.0,3.52632,11.52632,0.08675795917517473,0.6073057142262231,0.30593632659860215,70770.61472,0.5302,35.71,0.5606061005732975,0.7604792421741552,2.546825123467218,0.004669236313496941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/27/2012,32.23,69.54604108,0.63,0.43,28599510.0,2.116346694,0.540242386,8.0,1.0,15.0,3.55556,19.55556,0.05113635201446545,0.7670452802169818,0.18181836776855279,68910.48074,0.5073,36.78,0.6994998213009056,0.7920930360619121,2.5564467807598,0.04746835443037974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/28/2012,31.36,67.66875111,0.63,0.43,17713290.0,2.116346694,0.543457416,8.0,1.0,15.0,3.55556,19.55556,0.05113635201446545,0.7670452802169818,0.18181836776855279,67050.34676,0.5073,35.88,0.5820051546163484,0.7973475751236442,2.5046347799534328,0.01224874371859287,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/29/2012,31.095,67.0969329,0.63,0.43,19526820.0,2.116346694,0.521148371,8.0,1.0,16.0,3.54054,20.54054,0.048684211807479255,0.7789473889196681,0.1723683992728526,66483.75423,0.5074,35.73,0.7298287470359054,0.7977628720365467,2.298459142245393,-0.05113464447806348,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/2/2012,30.771,66.39780422,0.63,0.43,14131480.0,2.116346694,0.462208854,8.0,1.0,16.0,3.54054,20.54054,0.048684211807479255,0.7789473889196681,0.1723683992728526,65791.01467,0.5074,36.28,0.7890373882142728,0.6860844133357227,2.115952762997817,-0.03009981285090466,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
