Date,Close,Adj. Close,P/E (LTM),EPS - Est High (NTM),EPS - Est Low (NTM),Volume,SI (%),Vol,# Buys,# Sell,# Hold,Total Rec,% Buy,% Sell,% Hold,Rating,Mkt Cap,EPS - Est Avg (NTM),std_5days,std_10days,std_15days,% change_5d,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
9/24/2004,59.915,165.4900206,1.455,0.67,9133420.0,1.496284323,0.304011873,2.0,2.0,6.0,3.23077,11.23077,0.17808217958341235,0.5342465387502371,0.2876712816663506,32500.24982,1.1416,38.2318,0.671084942462576,2.590643206275659,3.787848428103441,0.028342837688313884,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/27/2004,59.13,163.3217878,1.455,0.67,7073636.0,1.496284323,0.30754991,2.0,2.0,6.0,3.23077,11.23077,0.17808217958341235,0.5342465387502371,0.2876712816663506,32074.43498,1.1498,38.2318,0.5894022395614038,2.943380945254776,3.782086284931461,0.003937667560321706,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/28/2004,63.43,175.1987316,1.455,0.777,16952060.0,1.496284323,0.37315366,3.0,2.0,7.0,3.47368,12.47368,0.16033760686501497,0.5611816240275525,0.2784807691074326,34406.92391,1.2214,38.2318,0.6262747001116983,3.353916822993016,3.530680731611317,0.0035641547861507273,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/29/2004,65.54,181.0267204,1.455,0.777,30549980.0,1.496284323,0.337836343,3.0,2.0,7.0,3.47368,12.47368,0.16033760686501497,0.5611816240275525,0.2784807691074326,35551.4708,1.2214,38.2318,1.7672082503202615,3.6856540200560834,3.6331845862955046,0.07163372191248525,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
9/30/2004,64.8,178.9827812,1.455,0.777,13780240.0,1.496284323,0.346331261,2.0,2.0,8.0,3.36842,13.36842,0.14960631099262292,0.5984252439704917,0.2519684450368854,35150.06573,1.2214,38.2318,2.701508837668315,3.6446956891716873,3.8370078558317147,0.0849197152789275,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
10/1/2004,66.29,183.0982803,1.455,0.777,15142660.0,1.496284323,0.327778016,2.0,2.0,8.0,3.36842,13.36842,0.14960631099262292,0.5984252439704917,0.2519684450368854,35958.30027,1.2214,38.2318,2.8903191865259457,3.641877606400304,3.6916703858951494,0.08153217057498119,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
10/4/2004,67.53,186.5232595,1.455,0.787,13083740.0,1.496284323,0.328255535,1.0,2.0,9.0,3.26316,14.26316,0.14022138151713925,0.6309962168271267,0.2287824016557341,36630.92498,1.2369,38.2318,2.835766210391824,3.2260235671109956,3.699482975459449,0.12108912565533576,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
10/5/2004,69.185,191.0945018,1.455,0.787,15014500.0,1.496284323,0.313097593,1.0,2.0,9.0,3.26316,14.26316,0.14022138151713925,0.6309962168271267,0.2287824016557341,37528.662,1.2369,38.2318,1.5427151389676594,2.0344410234208747,3.7728967019797315,0.06463818382468865,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
10/6/2004,68.54,189.3129602,1.455,0.787,13399760.0,1.496284323,0.324688747,1.0,1.0,10.0,3.36842,14.36842,0.06959707469575639,0.6959707469575639,0.23443217834667973,37178.78866,1.2401,38.2318,1.7308249478211253,1.6095780157820516,4.065920501412877,0.055614891669209576,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
10/7/2004,69.425,191.757401,1.455,0.787,14133740.0,1.496284323,0.323688415,1.0,1.0,10.0,3.36842,14.36842,0.06959707469575639,0.6959707469575639,0.23443217834667973,37658.84743,1.2401,38.2318,1.761321946720703,1.6427907319220212,4.095625657187133,0.05771604938271619,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
